video_number,filename,title,youtube_source_title,content_type,is_backtestable,action,cluster_id,cluster_name,is_duplicate,duplicate_of_video,module_to_code,core_concept,reference_range_candle,entry_model,htf_timeframes,ltf_timeframes,session_time_filter,asset_focus,notes,implementation_status,strategy_module_id,strategy_folder,strategy_registry_id,coded_at,backtested_at,instruments_tested_count,anti_bias_review_passed,anti_bias_notes,backtest_error,data_source,data_root_used,bt_total_trades_all,bt_win_rate_all,bt_profit_factor_all,bt_max_drawdown_pct_all,bt_total_pnl_all,bt_sharpe_ratio_all,bt_avg_rr_all,best_instrument,best_instrument_pf,best_instrument_win_rate,best_instrument_pnl,best_instrument_trades,worst_instrument,instrument_affinity_notes
55,video_55_Gold_Trading_Strategy_High_Winrate.md,Gold Trading High Winrate,NEW Gold Trading Strategy That Works Everyday!,strategy,yes,DUPLICATE-SKIP,Q,Range Sweep + MSS,yes,54,range_sweep_mss,Same 5M range sweep-reversal as V54 on Gold,5M range,Auto block after sweep,5M,5M,Per session,Gold,Gold variant of Q,,,,,,,,,,,,,,,,,,,,,,,,,,
56,video_56_Midas_Model_Scalping_Strategy.md,Midas Model Scalping Strategy,The Midas Model Scalping Strategy,strategy,yes,CODE-CANONICAL,M,Gold Judas / Midas 8-9PM,no,,gold_judas_8pm,Gold 8PM/9PM: 15M pre-open H/L sweep; 1M MSS+displacement; FVG/breaker,8PM/9PM 15M ref,Judas + MSS + FVG,15M,1M,8PM-12AM NY,Gold,Canonical Gold Judas/Midas,,,,,,,,,,,,,,,,,,,,,,,,,,
57,video_57_NQ_Funded_Account_Trading_Strategy.md,NQ Funded Account Strategy,"This Simple NQ Trading Strategy Got Me Funded With $300,000",strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,Tap 1H/15M/5M FVG at open; 1M SMT; invert all FVGs in dealing range,HTF FVG,1M IFVG stack,1H/15M/5M,1M,9:30 NY,NQ/ES,Duplicate IFVG ladder,,,,,,,,,,,,,,,,,,,,,,,,,,
58,video_58_Midas_Model_Trade_Breakdowns.md,Midas Model Trade Breakdowns,The Midas Model A+ Setup - GOLD Trade Breakdown,non_strategy_demo,no,SKIP,M,Gold Judas / Midas 8-9PM,no,56,gold_judas_8pm,Midas rules recap with trade examples,8PM 15M,Midas IFVG,15M,1M,Asian,Gold,Teaching repeat of M,,,,,,,,,,,,,,,,,,,,,,,,,,
59,video_59_Midas_Model_Trade_Breakdowns_Cont.md,Midas Model Trade Breakdowns Cont.,Use This Gold Trading Strategy To Quit Your Job In 60 Days!,non_strategy_demo,no,SKIP,M,Gold Judas / Midas 8-9PM,no,56,gold_judas_8pm,Continued Midas trade examples,8PM 15M,Midas,15M,1M,Asian,Gold,Teaching repeat of M,,,,,,,,,,,,,,,,,,,,,,,,,,
60,video_60_Midas_Model_Trade_Breakdowns_End_of_Week.md,Midas Model EOW Breakdowns,The Midas Model A+ Setup - GOLD Trade Breakdown,non_strategy_demo,no,SKIP,M,Gold Judas / Midas 8-9PM,no,56,gold_judas_8pm,End-of-week Midas examples,8PM 15M,Midas,15M,1M,Asian,Gold,Teaching repeat of M,,,,,,,,,,,,,,,,,,,,,,,,,,
61,video_61_Gold_Trading_Strategy_The_800_PM_900_PM_Judas_Swi.md,Gold 8PM/9PM Judas Swing,Give me 20 mins & I'll teach you best GOLD trading strategy,strategy,yes,DUPLICATE-SKIP,M,Gold Judas / Midas 8-9PM,yes,56,gold_judas_8pm,15M/1M Judas at 8PM & 9PM + separate 5M liquidity run + FVG inversion,8PM/9PM; 5M runs,Judas MSS / 5M IFVG,15M,1M; 5M,Asia/NY,"Gold, AUDJPY",Extended M variant,,,,,,,,,,,,,,,,,,,,,,,,,,
62,video_62_Trend_Continuation_Continuation_Purge_Entry_Model.md,Continuation Purge Entry Model,Trend Continuation Continuation Purge Entry Model,strategy,yes,CODE-CANONICAL,R,Continuation Purge + IFVG,no,,continuation_purge,With-trend: sweep swing that caused BOS; invert FVGs in dealing range; enter on close,Trend structure,Continuation purge + IFVG,4H trend,5M,Killzone if <4H,"Gold, GBPUSD",Unique trend-continuation model,,,,,,,,,,,,,,,,,,,,,,,,,,
63,video_63_ICT_Liquidity_Sweep_Strategy.md,ICT Liquidity Sweep Strategy,"Easy ICT Liquidity Sweep Strategy Made Me $14,512 Today!",strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,HTF POI tap + LTF SMT + FVG inversion,HTF FVG,SMT + IFVG,1H/4H or 15M,5M/1M,,"Forex, NQ",Multi-asset K variant,,,,,,,,,,,,,,,,,,,,,,,,,,
64,video_64_ICT_Daily_Bias_Guide.md,ICT Daily Bias Guide,I Simplified ICT Daily Bias..,strategy,yes,DUPLICATE-SKIP,N,Daily Bias + 15M Judas,yes,39,daily_bias_judas,Four bias methods — framework more than single entry,Daily,Bias rules -> Judas post-9:30,Daily,LTF,9:30+,Multi,Bias framework; overlaps N,,,,,,,,,,,,,,,,,,,,,,,,,,
65,video_65_US30_Trading_Strategy_Judas_Swing.md,US30 Judas Swing Strategy,Best ICT Judas Swing Trading Strategy With 79% Winrate!,strategy,yes,CODE-CANONICAL,S,US30 Pre-Open Judas,no,,us30_judas,Mark 15M H/L before 9:30; post-open sweep; 1M MSS+displacement; target opposite 15M level,Pre-9:30 15M,Judas + MSS + FVG/OB,15M,1M,9:30 NY,US30,Unique US30 judas anchor,,,,,,,,,,,,,,,,,,,,,,,,,,
66,video_66_1_Easy_ICT_1_Minute_Trading_Strategy.md,Easy ICT 1 Minute Strategy,Easy ICT 1 Minute Trading Strategy That Works Everyday!,strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,15M FVG during 9:30-11:30; 1M SMT; invert 1M FVG,15M FVG,SMT + IFVG,Daily,15M -> 1M,9:30-11:30,NQ/ES,Duplicate IFVG ladder,,,,,,,,,,,,,,,,,,,,,,,,,,
67,video_67_2_Easy_ICT_Scalping_Strategy.md,Easy ICT Scalping Strategy,"Easy ICT Scalping Trading Strategy That Makes $1,000/Day",strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,15M orderflow; tap 15M FVG; 1M SMT + FVG inversion,15M FVG,SMT + IFVG,15M,1M,Post 9:30,NQ/ES,Duplicate IFVG ladder,,,,,,,,,,,,,,,,,,,,,,,,,,
68,video_68_3_7940_Trade_Breakdown.md,"$7,940 Trade Breakdown","I Made $7,940 Today Using This Boring ICT Trading Strategy",non_strategy_demo,no,SKIP,I,HTF Trend + SMT + CISD,no,73,htf_trend_smt_cisd,GBPUSD walkthrough using 4H OB + SMT + sweep — demo of I/73,4H OB,SMT + OB retest,4H,15M,,GBPUSD,Demo only,,,,,,,,,,,,,,,,,,,,,,,,,,
69,video_69_4_ICT_Market_Maker_Model.md,ICT Market Maker Model (MMXM),Make Money With This Simple ICT MMXM Strategy,strategy,yes,CODE-CANONICAL,T,MMXM,no,,mmxm,4H trend; sweep liquidity before BOS; 15M MSS+displacement; FVG/breaker retest,4H structure,MMXM reversal,4H,15M,London/NY killzone,Multi,Unique MMXM model,,,,,,,,,,,,,,,,,,,,,,,,,,
70,video_70_5_Simple_ICT_1000Day_Scalping_Strategy.md,"Simple $1,000/Day Scalping","Simple ICT Trading Strategy Makes $1,000/Day",strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,Daily bias + 1H engineered liquidity; 9:30 Judas sweep; 1M autoblock/IFVG,Daily PDA,Judas + autoblock/IFVG,Daily,1H -> 1M,9:30 NY,NQ,N+K hybrid; code via K + N modules,,,,,,,,,,,,,,,,,,,,,,,,,,
71,video_71_1_Why_Youre_Failing_as_a_Trader.md,Why You're Failing as a Trader,Please Quit Trading Before Its Too Late!,non_strategy_mindset,no,SKIP,,,no,,,Psychology / discipline — no setup,,,,,,,Mindset only,,,,,,,,,,,,,,,,,,,,,,,,,,
72,video_72_2_Gold_1-Minute_Scalping_Strategy.md,Gold 1-Minute Scalping,GOLD 1 Minute Trading Strategy That Actually Works,strategy,yes,DUPLICATE-SKIP,M,Gold Judas / Midas 8-9PM,yes,56,gold_judas_8pm,15M pre-8PM H/L; sweep; MSS+displacement; FVG/breaker,8PM Asian,Judas + MSS,15M,1M,8PM+,Gold,Duplicate Gold Judas,,,,,,,,,,,,,,,,,,,,,,,,,,
73,video_73_3_Simple_Trading_Strategy_for_GBPUSD.md,Simple Strategy for GBPUSD,"This boring trading strategy made me $6,620 in a few minutes",strategy,yes,DUPLICATE-SKIP,I,HTF Trend + SMT + CISD,yes,13,htf_trend_smt_cisd,4H orderflow into OB/FVG; 15M SMT; enter on sweep candle body break,4H PD array,SMT + sweep candle OB,4H,15M,,GBPUSD/EURUSD,Forex 4H+15M variant of I,,,,,,,,,,,,,,,,,,,,,,,,,,
74,video_74_4_Backtesting_Tutorial.md,Backtesting Tutorial,Backtesting Tutorial,non_strategy_tutorial,no,SKIP,,,no,,,FX Replay tutorial using ORB example — tool demo,,ORB demo,,,,NQ,Tutorial only,,,,,,,,,,,,,,,,,,,,,,,,,,
75,video_75_5_Mindfulness_for_Traders.md,Mindfulness for Traders,Give me 6 minutes of your life and I'll make you a better trader forever,non_strategy_mindset,no,SKIP,,,no,,,Meditation/breathing for discipline,,,,,,,Mindset only,,,,,,,,,,,,,,,,,,,,,,,,,,
76,video_76_Simplified_ICT_PO3_Trading_Strategy.md,Simplified ICT PO3,I Simplified ICT PO3 Trading Strategy...,strategy,yes,DUPLICATE-SKIP,H,10AM 4H PO3 / AMD,yes,31,po3_10am_4h,PO3 with daily bias prerequisite; accumulation/manipulation/distribution,Daily/4H PO3,PO3 + bias,Daily,15M,,Multi,Bias-gated PO3 on H,,,,,,,,,,,,,,,,,,,,,,,,,,
77,video_77_Simple_ICT_Liquidity_Trading_Strategy.md,Simple ICT Liquidity Strategy,Simple ICT Liquidity Trading Strategy That Makes $500/Day,strategy,yes,CODE-CANONICAL,U,4H Swing Liquidity Sweep,no,,4h_swing_liquidity,4H 3-candle swing: mark 3rd candle H/L; next 4H bar sweep on 5M with MSS,4H 3-candle swing,5M MSS + OB/FVG,4H,5M,Killzone,NQ,Unique 4H swing marker,,,,,,,,,,,,,,,,,,,,,,,,,,
78,video_78_Easy_ICT_Judas_Swing_Trading_Strategy.md,Easy Judas Swing Strategy,Easy ICT Judas Swing Trading Strategy That Works!,strategy,yes,CODE-CANONICAL,V,Session-Range Judas (Forex),no,,forex_session_judas,Asian/London session range; sweep in 2-3AM or 7-8AM window; 5M MSS entry,Asian/London range,Session Judas + 5M MSS,Session,5M,2-3AM / 7-8AM,"EURUSD, GBPUSD",Distinct from Gold Judas M,,,,,,,,,,,,,,,,,,,,,,,,,,
79,video_79_SMC_Doesnt_Work_Anymore_Use_This_Instead.md,SMC Doesn't Work - Use This Instead,SMC Doesn't Work Anymore..? Use This Instead!,strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,4H obvious trend; dealing range; invert extreme FVG after liquidity sweep,4H dealing range,4H IFVG,4H,4H,,"Forex, Gold",4H-only IFVG variant of K,,,,,,,,,,,,,,,,,,,,,,,,,,
80,video_80_Easy_ICT_Trading_Strategy_for_2025.md,Easy ICT Strategy for 2025,Easy ICT Trading Strategy for 2025,strategy,yes,DUPLICATE-SKIP,H,10AM 4H PO3 / AMD,yes,31,po3_10am_4h,Weekly/daily 2-candle PO3 bias; manipulation to Fib -2/-2.5; MSS + OB,Weekly/Daily PO3,2-candle bias + Fib + OB,W/D,15M/1H,,Futures,HTF PO3 not 10AM-specific; hyperparam on H,,,,,,,,,,,,,,,,,,,,,,,,,,
81,video_81_ICT_Power_of_3_1-Minute_Scalpin.md,ICT Power of 3 1-Minute Scalping (OSOK),ICT Power of 3 1-Minute Scalping,strategy,yes,CODE-CANONICAL,W,OSOK 1H PO3,no,,osok_1h_po3,Last two 1H candles set bias for third; 1M Judas sweep of equal H/L; enter at OB of sweep candle,1H x3 OSOK,1H 2-candle bias + 1M Judas,1H,1M,Third 1H candle,NQ,Unique from 10AM 4H PO3,,,,,,,,,,,,,,,,,,,,,,,,,,
82,video_82_ICT_Liquidity_Sweep_Strategy_20.md,ICT Liquidity Sweep Strategy (2025),Best ICT Liquidity Trading Strategy To Use In 2025!,strategy,yes,DUPLICATE-SKIP,N,Daily Bias + 15M Judas,yes,39,daily_bias_judas,3-candle daily bias; day-3 15M sweep of pre-open liquidity; MSS at OB/FVG,Daily 3-candle,Daily bias + 15M sweep + MSS,Daily,15M,Post 9:30,Multi,Duplicate of N (39),,,,,,,,,,,,,,,,,,,,,,,,,,
83,video_83_Day_Trading_for_Profit.md,Day Trading for Profit,"How I Made $2,600 In 10 Minutes Day Trading",non_strategy_demo,no,SKIP,,,no,,,Live trade story-building on D/1H -> 2M execution,,Liquidity narrative,Daily/1H,2M,Live,,Demo only,,,,,,,,,,,,,,,,,,,,,,,,,,
84,video_84_1-Minute_Scalping_Inverse_FVG.md,1-Minute Scalping (Inverse FVG),1-Minute Scalping Inverse FVG,strategy,yes,DUPLICATE-SKIP,K,Post-9:30 IFVG Ladder,yes,28,ifvg_inversion_ladder,External->internal bias; post-9:30 opposite sweep; invert all FVGs in leg,ERL->IRL bias,1M IFVG stack,D/4H/1H/15M,1M,Post 9:30,Multi,Duplicate IFVG ladder,,,,,,,,,,,,,,,,,,,,,,,,,,
85,video_85_1-Minute_Scalping_Live_Trade.md,1-Minute Scalping Live Trade,"How I Made $2,130 In 3 Minutes Day Trading",non_strategy_demo,no,SKIP,K,Post-9:30 IFVG Ladder,no,28,ifvg_inversion_ladder,Short live recap: story + SMT — not full mechanical spec,,SMT + story,,1M,Live,,Demo only,,,,,,,,,,,,,,,,,,,,,,,,,,
86,video_86_1_Best_ICT_Trading_Strategy_Quit_Your_Job_In_60_Da.md,Best ICT Strategy Quit Job 60 Days,Best ICT Trading Strategy! (Quit Your Job In 60 Days!),strategy,yes,DUPLICATE-SKIP,H,10AM 4H PO3 / AMD,yes,31,po3_10am_4h,Weekly/daily 2-candle PO3; third candle open; sweep left liquidity; LTF MSS+OB,W/D PO3,2-candle bias + judas + OB,W/D,4H/1H -> 15M/5M,,EURUSD etc.,Duplicate of H (80/86),,,,,,,,,,,,,,,,,,,,,,,,,,
87,video_87_2_How_I_Made_3270_In_5_Minutes_Trading_ICT_Concept.md,"$3,270 in 5 Minutes Breakdown","How I Made $3,270 In 5 Minutes Trading ICT Concepts",non_strategy_demo,no,SKIP,,,no,,,Discretionary 1H liquidity reaction — experience-based,1H liquidity,Discretionary,1H,LTF,,NQ,Demo / discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,
88,video_88_3_Structure_Liquidity_Easy_Profit.md,Structure + Liquidity Easy Profit,Structure + Liquidity = Easy Profit,strategy,yes,DUPLICATE-SKIP,I,HTF Trend + SMT + CISD,yes,13,htf_trend_smt_cisd,"Trend + IRL/ERL; 4H structure, 15M MSS, optional 1M refine; SMT",4H structure,ERL/IRL + MSS,4H,15M -> 1M,,Forex,Generic framework variant of I,,,,,,,,,,,,,,,,,,,,,,,,,,
89,video_89_4_Easy_ICT_1_Minute_Gold_Trading_Strategy_That_Wor.md,Easy 1M Gold Strategy,Easy ICT 1 Minute Gold Trading Strategy That Works!,strategy,yes,DUPLICATE-SKIP,Q,Range Sweep + MSS,yes,54,range_sweep_mss,Build 1M range; sweep H/L; MSS + close inside; auto block,1M fractal range,Range sweep + MSS + auto block,1M,1M,Asia/London/NY,"Gold, indices",1M variant of Q,,,,,,,,,,,,,,,,,,,,,,,,,,
90,video_90_5_How_I_Make_1000Day_with_ONE_Simple_Crypto_Strate.md,"$1,000/Day Crypto Strategy","How I Make $1,000/Day with ONE Simple Crypto Strategy",strategy,yes,DUPLICATE-SKIP,Q,Range Sweep + MSS,yes,54,range_sweep_mss,15M+ range via MSS; sweep H/L; MSS + close inside; auto block,15M+ range,Range sweep + MSS + auto block,15M+,15M+,,Crypto,15M+ crypto variant of Q,,,,,,,,,,,,,,,,,,,,,,,,,,
